"","13. Outras politicas de lideranca","7. Processo de concessao de pol. trab flexivel","12. Politicas de lideranca","5. Outras politicas de jornada flexivel","9. Politicas contra disccriminacao de genero","2. Controladora","11. Subestimacao e Preconceito","6. Como e a quem praticas de jornada flexivel","3. Medidas de conc. trab-familia-pessoal","1. IP","8. Monitoramento de politicas de trab  flexivel","10. Outras politicas contra discriminacao de genero","4. Politicas de jornada flexivel"
"37","Nossa empresa tem em seu quadro de lideres 3 mulheres e 1 homem que se reunem semanalmente e buscam o equilíbrio de género, idades, entre outros. Entendemos que a diversidade fortalece o time. Nossa política: times mistos.","Como somos uma empresa de consultoria, a jornada flexível depende de cada projeto em que o colaborador está alocado. Alguns projetos permitem mais flexibilidade outros menos. Essa concessão é previamente combinada com o líder do projeto.","A empresa possui outras ações nesse sentido","Alguns colaboradores atuam somente em projetos específicos, como especialista de determinado assunto.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","nt","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","187.11.216.8","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","Normalmente, os problemas estão na relação da nossa equipe com o cliente. Nosso canal aberto sao os Heads da empresa que sem nenhum questionamento realocam as/os consultores que estiverem sentido qualquer discriminação ou assedio no projeto. Imediatamente.","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Arranjos contratuais sazonais: funcionários/as trabalham em tempo integral ou parcial por menos de seis meses durante o ano; A empresa possui outras políticas de jornada de trabalho flexível"
"38","","O Horário flexível é aplicado a todos os colaboradores do corporativo, sendo que os que atuam sob o regime intitulado de ""Turno Livre"" não sofrem nenhum alteração na jornada de trabalho. Trata-se da flexibilização dos horários de entrada e saída, desde que a jornada de trabalho diária seja cumprida. O objetivo é possibilitar maior mobilidade aos colaboradores, facilitando assim, a conciliação entre a rotina profissional e pessoal.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","Banco de Horas - consiste na compensação de horas positivas, acumuladas dentro de um período que compreende o acordo de Banco de Horas junto ao sindicato,conforme alinhado com o gestor.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","KIRIN HOLDING","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui treinamento facultativo de diversidade","A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","200.182.233.243","A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia; A empresa possui outras políticas de jornada de trabalho flexível"
"39","","Sim, cargos que sejam mais independentes e menos relacionados a clientes diretos. ","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove networking entre as colaboradoras da empresa","","A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","MUSIC2","A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","201.6.139.61","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time","","A empresa adota informalmente práticas de jornada trabalho flexível"
"40","","não há. Todos os funcionários tem os mesmos direitos independe de Genero.","A empresa possui práticas não formalizadas de incentivo à liderança feminina","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual","Citi","A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.125.126.40","A empresa não possui política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho"
"41","","Para pessoas com cargos de coordenador e acima ","A empresa possui práticas não formalizadas de incentivo à liderança feminina","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","Loreal ","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa possui treinamento obrigatório de diversidade","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","187.72.88.193","A empresa não possui política de monitoramento de políticas de trabalho flexível","Não","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"42","","A variação de horário de chegada e saída, respeitando ainda a jornada diária de 8hrs, é concedida para todos os funcionários, visando oferecer flexibilidade e alternativas para conciliar vida pessoal e profissional. Já o teletrabalho, se dá como uma opção em casos pontuais em que o funcionário (a) precise fazer uso dessa alternativa, também com o objetivo de oferecer maior equilíbrio entre vida pessoal e profissional, mas nesse caso com a anuência de sua gestão. Há ainda o teletrabalho que está correlacionado com alguns cargos específicos em que o local de trabalho estabelecido é a sua residência, dado a natureza da atividade exercida.","A empresa oferece programa/ações de incentivo à liderança feminina apenas a cargos específicos ou à potenciais lideranças femininas que tenham sido identificadas; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","Royal Dutch Shell","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","64.215.22.71","A empresa não possui política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"43","","O trabalho flexível é concedido a funcionários que tenham cargos que permitam home office e que haja comum acordo com o líder do colaborador.","A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual","Reckitt Benckiser","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima","191.254.60.150","A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","","A empresa possui política formal de jornada de trabalho flexível de meio período; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"44","","Por se tratar de uma empresa de consultoria, muito de nossos colaboradores estão no cliente, no campo, então suas atividades extrapolam os limites da empresa.","A empresa oferece programa/ações de incentivo à liderança feminina apenas a cargos específicos ou à potenciais lideranças femininas que tenham sido identificadas","","A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa não possui política contra discriminação de gênero, assédio moral ou assédio sexual contra colaboradoras"," -","A empresa não tem políticas ou práticas e trata das questões atinentes ao tema à medida que surgem necessidades","A empresa não possui políticas de jornada de trabalho flexível","A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa analisa caso a caso as demandas dos/as colaboradores/as","200.233.182.73","A empresa não possui política de monitoramento de políticas de trabalho flexível","","Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; A empresa não possui política de trabalho flexível"
"45","","456456","A empresa possui práticas não formalizadas de incentivo à liderança feminina","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato)","GE","A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras","64.215.22.95","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as","","A empresa adota informalmente práticas de jornada trabalho flexível"
"46","","O processo de concessão para o trabalho flexível é por avaliação de caso a caso.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa promove networking entre as colaboradoras da empresa","","A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","NT","A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","201.17.184.210","A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"47","","A concessão de políticas de trabalho flexível é para todos os níveis, e não há nenhum tipo de avaliação para esse tipo de concessão.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa promove networking entre as colaboradoras da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","Alelo","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero","A empresa oferece políticas de jornada de trabalho flexível apenas para pais/mães que voltaram de licença maternidade/paternidade","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.39.40.137","A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"48","","NT","A empresa possui práticas não formalizadas de incentivo à liderança feminina","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual","NT","A empresa não tem políticas ou práticas e trata das questões atinentes ao tema à medida que surgem necessidades","A empresa não possui políticas de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa analisa caso a caso as demandas dos/as colaboradores/as","177.69.135.193","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; Jornadas com redução de dias/horas: funcionários/as podem trabalhar um número menor de dias por semana, ou um número menor de horas por dia"
"49",""," - Licenças por Interesse do Colaborador: os colaboradores com mais de um ano de contrato de trabalho podem solicitar uma licença por motivos particulares ao seu gestor superior imediato. A solicitação será analisada e deverá ser aprovada pelo diretor da área e pela Consultoria de Pessoas. As licenças podem ser com ou sem vencimentos (remuneradas ou não remuneradas), dependendo do caso.","A empresa possui práticas não formalizadas de incentivo à liderança feminina"," - Ponto Eletrônico: o controle de jornada de trabalho baseia-se na captura dos registros de entrada e saída que os colaboradores efetuam nos seus próprios ambientes de trabalho (Portal Itaú Unibanco). As informações capturadas pelo sistema de ponto eletrônico subsidiam a gestão de pessoas, o cálculo de horas credoras, devedoras, extras, além de folhas de pagamento e atendimento a ações de fiscalização. O registro do período trabalhado somente pode ser efetuado pelo colaborador, que deve registrar seus horários de entrada, saída e intervalos para almoço. As horas credoras, não compensadas durante o mês, são convertidas em horas extras e pagas em folha. \n \n - Flexibilização da Jornada de Trabalho: visando facilitar ao colaborador cuidar de questões pessoais, ele pode compensar horas trabalhadas a mais ou a menos em determinados dias, ou permutar por dias de folga e/ou, ainda, chegar mais tarde e/ou sair antes do horário, sempre valendo o acordo entre gestor e colaborador durante o mês vigente.\n \n - Jornada de trabalho: Introduzimos um processo para desativar as estações de trabalho após o registro de saída no ponto eletrônico. Com isso, garantimos que os colaboradores não permaneçam no seu posto de trabalho após o registro de saída ao final da jornada de trabalho.\n \n -A Folga Assiduidade, estipulada na Convenção Coletiva de Trabalho dos Bancários, prevê a concessão de um dia de ausência remunerada ao funcionário em efetivo exercício. Para ter direito ao benefício, o colaborador deve ter no mínimo 12 meses de vínculo empregatício com o banco e não pode ter falta injustificada no período prescrito na convenção. A Folga Assiduidade não poderá ser convertida em pecúnia, adquirir caráter cumulativo e ser utilizada para compensar faltas ao serviço.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","Itau Unibanco Holding SA","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento obrigatório de diversidade","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres que voltaram de licença-maternidade; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","200.196.153.28","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível; A empresa monitora se mulheres que usufruem de políticas de trabalho flexível estão conseguindo promoções e desenvolvendo suas carreiras","","Flextime: permite variação de horário na chegada e na saída do trabalho; A empresa possui outras políticas de jornada de trabalho flexível"
"50","","Conforme elencado acima. ","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais","Johnson & Johnson do Brasil Industria e Comércio de Produtos para a Saúde Ltda","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento obrigatório sobre bias (viéses) e preconceitos de gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho","148.177.89.242","A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time","","A empresa possui política formal de jornada de trabalho flexível de meio período; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"51","","Algumas funções não conseguem atender a jornada flexível, portanto não entram na política.","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas","Happy Friday","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","Novartis Biociências","A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui treinamento facultativo de diversidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as; A empresa não possui medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","200.211.222.70","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","A empresa possui política formal de jornada de trabalho flexível de meio período; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; A empresa possui outras políticas de jornada de trabalho flexível"
